org_list,0,1,total,prop_0,prop_1,diff
Negotiativa,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Ports,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Paulus Aemilius,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Pepper and Calicoes,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Paulus Aemylius,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Commodities and Exchange,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Commonweal,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Combination,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Permutation of Monies,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Praeemption,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Prerogative Royal,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Prerogatives,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Princes and Commonweals,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Privy Council,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Procuration,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Publique Vtility,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Commanders,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Ready Money,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Realme,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Register,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Religion,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Retailers,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Rouen and Calais,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Royal 2 ½,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Setting of the Price,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Silver Bullion,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Par of Exchange,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Plantation of Virginia,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Procurations or Commissions,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Publike Liberty,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Publique Vtility of the Kingdome,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Exchange of England,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Rates,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Realm &,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the Rickx Doller,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
the King of England,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
"the Seas, Merchants",1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Engrossing of Trade,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
Equal Exchange,1,0,1,0.0008795074758135445,0.0,0.0008795074758135445
